CODIGO_HOGAR,ID_PERS,GENERO,FECHA_NACIMIENTO,TFM,TFN,G_DISCAP,RENDA_MES,D_ALTA_MUNI,D_SOC_DEMANDANT_OCUP,TREBALLA,D_TGSS
670268263,271800,F,11/07/1966,,,,"0,00 ",01/05/1996,NO,NO_INFO,
583286202,214412,F,24/02/1926,,,,"0,00 ",01/05/1996,,NO_INFO,
800273353,335379,M,29/11/1949,,,,"0,00 ",10/04/1986,,NO_INFO,
800237445,311488,M,24/03/2009,,,,"0,00 ",25/03/2010,,NO_INFO,
334066257,113447,F,22/06/2004,,,,"0,00 ",21/02/2013,,NO_INFO,
000325243,34,F,31/12/1973,,,,"0,00 ",21/04/2009,,NO_INFO,
800232236,325437,M,01/07/1972,,,,"0,00 ",22/11/2004,,NO_INFO,
225023397,39840,M,09/07/1941,,,,"0,00 ",01/05/1996,,NO_INFO,
509347082,182778,F,28/03/1973,,,,"0,00 ",26/11/2014,,NO_INFO,
422943093,144711,M,30/12/1971,,,,"0,00 ",02/05/2011,NO,NO_INFO,
650656052,244370,M,05/08/1983,,,,"0,00 ",02/11/2010,,NO_INFO,
202500000,73431,F,15/08/1964,,,,"0,00 ",11/12/2015,,NO_INFO,
800244970,328741,M,07/03/1963,,,,"0,00 ",15/11/1999,,NO_INFO,
475979028,133039,F,15/01/1974,,,,"0,00 ",04/09/2015,,NO_INFO,
486326004,172124,F,08/01/1981,,,,"0,00 ",01/04/2015,NO,NO_INFO,
099492056,35194,M,18/09/1983,,,,"0,00 ",13/01/2011,,NO_INFO,
670299066,279035,M,02/01/1984,,,,"0,00 ",25/11/2013,NO,NO_INFO,
594660073,218313,M,28/02/1975,,,,"0,00 ",14/10/2010,,NO_INFO,
097742282,34574,M,10/01/1981,,,,"0,00 ",11/07/2006,,NO_INFO,
097742282,34575,M,10/01/1976,,,,"0,00 ",11/03/2006,NO,NO_INFO,
523499093,184907,M,07/01/1987,,,,"0,00 ",15/04/2008,,NO_INFO,
800036084,294712,M,15/07/1985,,,,"0,00 ",09/09/2009,,NO_INFO,
275357490,98374,M,15/09/1932,,,,"0,00 ",01/05/1996,,NO_INFO,
375328028,123520,F,28/12/1922,,,,"0,00 ",09/04/2015,,NO_INFO,
632073055,233179,F,09/12/1973,,,,"0,00 ",20/05/2011,NO,NO_INFO,
427656300,143705,F,02/01/1975,,,,"0,00 ",28/07/2011,,NO_INFO,
800222366,307385,F,15/09/1952,,,,"0,00 ",09/01/2014,,NO_INFO,
305275049,105902,F,29/03/1981,,,,"0,00 ",18/02/2010,,NO_INFO,
220727073,80917,M,05/03/1947,,,,"0,00 ",15/09/2010,,NO_INFO,
226547028,40170,F,09/05/1953,,,,"0,00 ",21/04/2009,NO,NO_INFO,
279775032,33738,F,12/04/1951,,,,"0,00 ",07/01/2015,,NO_INFO,
528995008,187173,F,01/01/1987,,VIGENT,,"0,00 ",08/11/2004,,NO_INFO,
572265036,209343,M,14/06/1972,,,,"0,00 ",21/11/2014,,NO_INFO,
227079223,83389,F,13/04/1951,,,,"0,00 ",02/12/2009,,NO_INFO,
483764075,170745,F,04/01/1965,,,,"0,00 ",22/02/2013,,NO_INFO,
472325053,134518,M,21/04/1961,,,,"0,00 ",05/10/2011,,NO_INFO,
670007807,248138,F,08/09/1977,,,,"0,00 ",22/06/2011,,NO_INFO,
606277098,224329,M,21/11/1981,,,,"0,00 ",04/04/2014,,NO_INFO,
250369059,91998,M,16/01/1983,,,,"0,00 ",15/12/2010,,NO_INFO,
800234352,325985,M,12/05/1982,,,,"0,00 ",04/06/2010,,NO_INFO,
800208952,307132,F,25/06/1961,,,,"0,00 ",29/06/2011,NO,NO_INFO,
800097600,305351,M,11/06/1994,,,,"0,00 ",07/10/2003,,NO_INFO,
800296482,320070,F,25/10/1961,,,,"0,00 ",07/01/2015,,NO_INFO,
257425027,53318,F,09/04/1962,,,,"0,00 ",10/02/2010,,NO_INFO,
800255382,314401,M,26/09/1964,,,,"0,00 ",17/04/2008,,NO_INFO,
800280356,317777,F,02/01/1982,,,,"0,00 ",03/02/2006,NO,NO_INFO,
626470092,233721,M,04/02/1961,,,,"0,00 ",03/08/2007,,NO_INFO,
670309568,279521,F,24/05/1943,,,,"0,00 ",01/05/1996,,NO_INFO,
670022028,249530,M,08/11/1961,,,,"0,00 ",18/07/2006,,NO_INFO,
295229472,70314,M,25/04/1962,,,,"0,00 ",13/10/2014,,NO_INFO,
